127.0.0.1 - - [24/Dec/2018:17:47:42 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:47:50 +0530] "GET /EComFront/ HTTP/1.1" 200 8074
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:47:51 +0530] "GET /EComFront/resources/images/25.png HTTP/1.1" 200 7369
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:47:51 +0530] "GET /EComFront/resources/images/1.jpg HTTP/1.1" 200 234594
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:47:51 +0530] "GET /EComFront/resources/images/3.jpg HTTP/1.1" 200 220423
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:47:51 +0530] "GET /EComFront/resources/images/2.jpg HTTP/1.1" 200 110472
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:47:51 +0530] "GET /EComFront/resources/images/4.jpg HTTP/1.1" 200 340464
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:47:51 +0530] "GET /EComFront/resources/images/5.jpg HTTP/1.1" 200 229096
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:47:52 +0530] "GET /EComFront/resources/images/1.jpg HTTP/1.1" 200 234594
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:47:52 +0530] "GET /EComFront/resources/images/2.jpg HTTP/1.1" 200 110472
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:47:52 +0530] "GET /EComFront/resources/images/4.jpg HTTP/1.1" 200 340464
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:47:52 +0530] "GET /EComFront/resources/images/3.jpg HTTP/1.1" 200 220423
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:47:52 +0530] "GET /EComFront/resources/images/5.jpg HTTP/1.1" 200 229096
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:47:56 +0530] "GET /EComFront/resources/images/1.jpg HTTP/1.1" 200 234594
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:47:56 +0530] "GET /EComFront/resources/images/2.jpg HTTP/1.1" 200 110472
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:00 +0530] "GET /EComFront/resources/images/2.jpg HTTP/1.1" 200 110472
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:00 +0530] "GET /EComFront/resources/images/4.jpg HTTP/1.1" 200 340464
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:01 +0530] "GET /EComFront/Login HTTP/1.1" 200 5653
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:01 +0530] "GET /EComFront/resources/images/25.png HTTP/1.1" 200 7369
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:18 +0530] "POST /EComFront/perform_login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:18 +0530] "GET /EComFront/ HTTP/1.1" 200 8091
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:18 +0530] "GET /EComFront/resources/images/25.png HTTP/1.1" 200 7369
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:18 +0530] "GET /EComFront/resources/images/2.jpg HTTP/1.1" 200 110472
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:18 +0530] "GET /EComFront/resources/images/1.jpg HTTP/1.1" 200 234594
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:18 +0530] "GET /EComFront/resources/images/4.jpg HTTP/1.1" 200 340464
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:18 +0530] "GET /EComFront/resources/images/5.jpg HTTP/1.1" 200 229096
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:18 +0530] "GET /EComFront/resources/images/3.jpg HTTP/1.1" 200 220423
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:22 +0530] "GET /EComFront/admin/category HTTP/1.1" 200 16238
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:22 +0530] "GET /EComFront/resources/images/25.png HTTP/1.1" 200 7369
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:23 +0530] "GET /EComFront/admin/resources/images/logo25.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:29 +0530] "GET /EComFront/admin/product HTTP/1.1" 200 17664
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:30 +0530] "GET /EComFront/resources/images/25.png HTTP/1.1" 200 7369
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:30 +0530] "GET /EComFront/resources/productimage/130.jpg HTTP/1.1" 200 50558
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:30 +0530] "GET /EComFront/resources/productimage/131.jpg HTTP/1.1" 200 23790
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:30 +0530] "GET /EComFront/resources/productimage/134.jpg HTTP/1.1" 200 40013
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:30 +0530] "GET /EComFront/resources/productimage/129.jpg HTTP/1.1" 200 68275
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:30 +0530] "GET /EComFront/resources/productimage/132.jpg HTTP/1.1" 200 29679
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:48:30 +0530] "GET /EComFront/resources/productimage/126.jpg HTTP/1.1" 200 50339
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:54:12 +0530] "POST /EComFront/admin/addproduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:54:12 +0530] "GET /EComFront/admin/product?title=Flower+Paradise+-Product HTTP/1.1" 200 18752
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:54:12 +0530] "GET /EComFront/resources/images/25.png HTTP/1.1" 200 7369
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:54:12 +0530] "GET /EComFront/resources/productimage/129.jpg HTTP/1.1" 200 68275
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:54:12 +0530] "GET /EComFront/resources/productimage/126.jpg HTTP/1.1" 200 50339
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:54:12 +0530] "GET /EComFront/resources/productimage/131.jpg HTTP/1.1" 200 23790
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:54:12 +0530] "GET /EComFront/resources/productimage/132.jpg HTTP/1.1" 200 29679
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:54:12 +0530] "GET /EComFront/resources/productimage/184.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:54:12 +0530] "GET /EComFront/resources/productimage/130.jpg HTTP/1.1" 200 50558
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:54:12 +0530] "GET /EComFront/resources/productimage/134.jpg HTTP/1.1" 200 40013
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:56:16 +0530] "POST /EComFront/admin/addproduct HTTP/1.1" 302 -
